0,1
00,1
000,2
031,1
032c,3
0420,1
05,1
09,1
0mgk4ty,1
0rb€t€,1
0wt,1
1,35
1,43
1,6
1,63
1,65
10,32
10,7
10,9
10,9
10,9
100,2
100,29
100,3
100,5
100,5
1000,1
1000,3
10000,1
10000,2
100000,1
100000,1
10000000,1
1000a,1
1000a600p,1
1000s,1
100k,3
100layers,1
100m,1
100p,1
100th,1
100th,2
100thchattyshow,1
101,1
101,1
1010,1
1010,1
1012,1
1015pm,1
1016,1
1019,1
102,1
1023,1
1025,2
1026,1
1027kiisfm,1
1027kiisfm,3
1027kiisfms,1
103,1
103,1
1030,1
1030pm,1
1030pm,1
1035kissfm,1
1035ktu,1
1035ktu,1
103”,1
1045chumfm,1
1045pm,1
105,1
105,2
1050pm,1
1061bli,1
108,1
109,2
109c,1
10a,3
10a6p,1
10am,1
10am,1
10am,4
10days,4
10hours,1
10m,1
10minflight,1
10on1,1
10pm,1
10pm,2
10pm,4
10th,1
10th,3
10year,1
10years,1
10yearsofkidrauhl,1
10…,1
11,2
11,3
11,6
11,6
11,6
1105,1
111,1
11105,1
1111,2
1113,1
11131119,1
1115,1
1116,1
111912,1
112,1
1120,1
1120,1
1122,1
1125,1
113,1
1130,1
1130,1
11301215,1
1135,2
1135p1035p,1
1140,1
1147,1
1150,2
1155,1
1159pm,1
117,2
11728,1
11am,1
11am,1
11am”,1
11days,3
11pm,1
11pm,1
11pm,2
12,2
12,3
12,3
12,5
12,9
1200,1
120000,1
1201am,1
1210,1
121212,1
1214,2
1215,1
1215,3
1216,1
1217,1
1225,2
123,2
1230,1
1230am,1
1231,1
1235am1135pm,1
124,1
1245,1
125,1
1250,2
126,1
126000,1
126…,1
127,1
127,2
128,1
128,1
128,2
1287,1
129,1
129,1
12days,3
12deadlydays,11
12deadlydays…,1
12hours,1
12mercer,2
12pm,3
12th,1
12th,1
12th,2
12yearold,1
12yearsofpewds,1
12—dont,1
12…,1
13,16
13,4
13,6
13,9
130,1
13000,1
1316,1
134,12
135,1
137,1
137,1
137th,1
138,1
139,1
13days,4
13daystil1989worldtour,1
13s,2
13th,1
13th,1
13th,10
13th,2
13th,2
13year,1
13…,1
14,1
14,1
14,1
14,3
14,5
140,1
140,2
140,2
14000,1
14000,1
14012014,1
141,1
1416,1
142,1
143,1
144439,1
146,1
146,1
149,1
14days,4
14th,2
15,2
15,2
15,3
15,6
15,8
150,1
150,1
15000,1
15000,1
150000,1
150th,2
151,1
151,3
151000,1
1516,1
155,2
156000,1
15days,3
15th,1
15th,5
16,1
16,10
16,3
16,8
1600,1
160000,1
161000,1
1616,1
164,1
16days,2
16m,1
16th,1
17,1
17,1
17,2
17,2
17,8
170,1
17000,1
173000,2
175,1
176,3
17days,2
17th,3
18,1
18,2
18,2
18,4
180,1
18000,1
18000,1
1800honeymoon,1
18552345612,1
188,1
18days,1
18th,1
18th,1
18th,2
19,2
19,3
19,3
19,3
190,1
19392015,1
1942bs,1
1950s,2
1954,1
1961,1
1968,1
1973—a,1
1974,1
1975,1
1975,1
1980,1
1980s,1
1980s,1
1984,1
1985,1
1989,61
1989lyrics,16
1989secretsessions,16
1989tourarlington,1
1989touratlanta,1
1989tourbossiercity,1
1989tourcharlotte,2
1989tourchicago,3
1989tourcleveland,2
1989tourcologne,3
1989tourdetroit,5
1989toureastrutherford,3
1989tourfoxborough,2
1989tourgreensboro,2
1989tourhouston,3
1989tourindy,1
1989tourla,5
1989tourlexington,1
1989tourlosangeles,2
1989tourlouisville,2
1989tournashville,5
1989tourottawa,1
1989tourphilly,4
1989tourpittsburgh,4
1989tourraleigh,2
1989toursandiego,2
1989toursantaclara,1
1989tourstlouis,2
1989tourstpaul,1
1989tourtampa,2
1989tourtokyo,2
1989tourtoronto,1
1989tourwashingtondc,1
1989worldtour,5
1989worldtourlive,4
1990s,4
1990s—but,1
1993,1
1994,1
1997,2
1999,2
19999,1
19days,2
19th,1
19th,2
19th,2
1bn,1
1classnails,1
1day,7
1daystillpurpose,1
1daytil1989worldtour,1
1future,1
1future,1
1hour,1
1hourtil1989,1
1love,19
1lovealways,1
1monthtil1989,1
1pm,1
1pm,2
1s,1
1s,1
1s,2
1st,1
1st,10
1st,11
1st,28
1st,8
1ststop,1
1week,1
1”,1
2,35
2,35
2,4
2,41
2,54
20,2
20,2
20,6
20,6
20,7
200,1
200,2
200,2
2000,1
2000,1
20000,1
20000,2
200000,4
20000000,1
2000s,2
2001,2
2002,1
2002,1
2002,2
2004,1
2005,1
2005,2
2006,1
2007,1
2007,1
2008,1
2008,1
2008,4
2009,1
2009,1
2009,1
200k,1
200m,1
200p,1
2010,1
2010,1
2010,3
2011,1
2012,1
2012boatsandhoesvacay,1
2012thats,1
2013,15
2013,3
2013,4
2013,4
2013isalreadyowned,1
2013life,1
2013metgala,1
2014,1
2014,12
2014,4
2014,6
2014,8
2014—the,1
2015,1
2015,12
2015,2
2015,32
2015,4
2015’s,1
2016,1
2016,13
2016,19
2016,2
2016,3
2016s,1
2016—and,1
2016’s,2
2017,3
2017,4
2017❗️,1
2024,1
2025,1
2027,1
2030,2
208,1
20days,3
20daystil1989worldtour,1
20s,1
20s,1
20th,1
20th,2
21,1
21,1
21,1
21,2
21,2
210,1
211000,1
21216,1
213,1
213000,1
215,5
215000,2
216,1
21days,2
21st,1
21st,1
21st,8
21st28th,1
22,1
22,11
22,2
22,2
22,5
220,1
223000,3
226,1
22days,3
22k,1
22nd,1
22nd,3
23,1
23,2
23,3
230,2
231,1
2323”,1
235,3
23days,2
23rd,1
23rd,1
23rd,3
23ways,1
24,1
24,1
24,2
24,7
24,7
241,1
241,1
242000,2
245,1
245k,1
248000,1
24days,3
24hrvevorecord,3
24k,1
24kmagic,1
24th,1
24th,2
24yearold,1
25,1
25,2
25,2
25,5
25,7
250,1
250,1
250,1
250000,1
250k,1
252000,1
255,1
255000,1
257000,1
25days,2
25for1,1
25k,1
25m,1
25th,1
25th,1
25th,2
25th,4
25thanniversary,3
26,1
26,1
26,1
26,2
26,2
26000,1
265,2
268,1
26days,2
26th,1
27,1
27,2
271000,1
27days,2
27dias,1
28,1
28,1
28,2
28,4
280000,2
28days,2
28th,1
28th,3
28…,1
29,1
29,1
292000,1
295000,1
29days,2
29th,1
